Ehdokasnumero,Sukunimi,Etunimi,Ehdokasnimi,,Puhelin,Email,Postiosoite,Postitoimipaikka,Vaaliliiton ID,Vaaliliitto,Tiedekuntakoodi (random),Huomioita
842,Lampinen,Marina,"Lampinen, Marina",,,etunimi.sukunimi.840@example.com,Testiosoite 841,10840,Helsinki,8,Käyttis,H,
843,Laurila,Sonja Annika,"Laurila, Sonja",,,etunimi.sukunimi.841@example.com,Testiosoite 842,10841,Helsinki,8,Käyttis,ML,
844,Myllyntausta,Saara Johanna,"Myllyntausta, Saara",,,etunimi.sukunimi.842@example.com,Testiosoite 843,10842,Helsinki,8,Käyttis,V,
845,Nurmi,Reetta-Maija Karoliina,"Nurmi, Reetta",,,etunimi.sukunimi.843@example.com,Testiosoite 844,10843,Helsinki,8,Käyttis,O,
846,Pulkkinen,Suvi Saara Maria,"Pulkkinen, Suvi",,,etunimi.sukunimi.844@example.com,Testiosoite 845,10844,Helsinki,8,Käyttis,B,
847,Pöyhönen,Perttu Olavi Jaakonpoika,"Pöyhönen, Perttu",,,etunimi.sukunimi.845@example.com,Testiosoite 846,10845,Helsinki,8,Käyttis,T,
848,Rautio,Tiina Kaarina,"Rautio, Tiina",,,etunimi.sukunimi.846@example.com,Testiosoite 847,10846,Helsinki,8,Käyttis,L,
849,Rinnetmäki,Veli-Matti,"Rinnetmäki, Veli-Matti 'Velkka'",,,etunimi.sukunimi.847@example.com,Testiosoite 848,10847,Helsinki,8,Käyttis,MM,
850,Ropponen,Markus Jouko Juhana,"Ropponen, Markus",,,etunimi.sukunimi.848@example.com,Testiosoite 849,10848,Helsinki,8,Käyttis,K,
851,Aaltonen,Mikko Antero,"Aaltonen, Mikko",,,etunimi.sukunimi.849@example.com,Testiosoite 850,10849,Helsinki,13,Teologit,E,
852,Beckmann,Ida Maria,"Beckmann, Ida",,,etunimi.sukunimi.850@example.com,Testiosoite 851,10850,Helsinki,13,Teologit,H,
853,Elomaa,Laura Maria,"Elomaa, Laura",,,etunimi.sukunimi.851@example.com,Testiosoite 852,10851,Helsinki,13,Teologit,ML,
854,Engström,Vesa Juhani Kristian,"Engström, Vesa",,,etunimi.sukunimi.852@example.com,Testiosoite 853,10852,Helsinki,13,Teologit,V,
855,Haapa-aho,Riitta Sannaliisa,"Haapa-aho, Riitta",,,etunimi.sukunimi.853@example.com,Testiosoite 854,10853,Helsinki,13,Teologit,O,
856,Hautala,Minna Marita,"Hautala, Minna",,,etunimi.sukunimi.854@example.com,Testiosoite 855,10854,Helsinki,13,Teologit,B,
857,Hillberg,Milla Mari,"Hillberg, Milla",,,etunimi.sukunimi.855@example.com,Testiosoite 856,10855,Helsinki,13,Teologit,T,
858,Huhtasalo,Ilari Matti Olavi,"Huhtasalo, Ilari",,,etunimi.sukunimi.856@example.com,Testiosoite 857,10856,Helsinki,13,Teologit,L,
859,Häkkinen,Marie Anneli,"Häkkinen, Marie",,,etunimi.sukunimi.857@example.com,Testiosoite 858,10857,Helsinki,13,Teologit,MM,
860,Jurva,Saara-Maria,"Jurva, Saara-Maria",,,etunimi.sukunimi.858@example.com,Testiosoite 859,10858,Helsinki,13,Teologit,K,
861,Kotisaari,Tuuli Maria,"Kotisaari, Tuuli",,,etunimi.sukunimi.859@example.com,Testiosoite 860,10859,Helsinki,13,Teologit,E,
862,Kouvola,Helena Karolina,"Kouvola, Karolina",,,etunimi.sukunimi.860@example.com,Testiosoite 861,10860,Helsinki,13,Teologit,H,
863,Laitinen,Jussi Antero,"Laitinen, Jussi",,,etunimi.sukunimi.861@example.com,Testiosoite 862,10861,Helsinki,13,Teologit,ML,
864,Leinonen,Juha Erkki Tapio,"Leinonen, Juha",,,etunimi.sukunimi.862@example.com,Testiosoite 863,10862,Helsinki,13,Teologit,V,
865,Leinonen,Tapio Henrikki,"Leinonen, Tapio",,,etunimi.sukunimi.863@example.com,Testiosoite 864,10863,Helsinki,13,Teologit,O,
866,Leipakka,Laura Helena,"Leipakka, Laura",,,etunimi.sukunimi.864@example.com,Testiosoite 865,10864,Helsinki,13,Teologit,B,
867,Lemmetyinen,Simo Rafael,"Lemmetyinen, Simo",,,etunimi.sukunimi.865@example.com,Testiosoite 866,10865,Helsinki,13,Teologit,T,
868,Nykänen,Saara Ilona,"Nykänen, Saara",,,etunimi.sukunimi.866@example.com,Testiosoite 867,10866,Helsinki,13,Teologit,L,
869,Oksanen,Minna Hannele,"Oksanen, Minna",,,etunimi.sukunimi.867@example.com,Testiosoite 868,10867,Helsinki,13,Teologit,MM,
870,Peltola,Jukka Tapio,"Peltola, Jukka",,,etunimi.sukunimi.868@example.com,Testiosoite 869,10868,Helsinki,13,Teologit,K,
871,Puumala,Jenni Karoliina,"Puumala, Jenni",,,etunimi.sukunimi.869@example.com,Testiosoite 870,10869,Helsinki,13,Teologit,E,
872,Rajatalo,Joonas Jalmari,"Rajatalo, Joonas 'Jallu'",,,etunimi.sukunimi.870@example.com,Testiosoite 871,10870,Helsinki,13,Teologit,H,
873,Saarela,Veronica Anna Patricia,"Saarela, Veronica",,,etunimi.sukunimi.871@example.com,Testiosoite 872,10871,Helsinki,13,Teologit,ML,
874,Similä,Sakari Henrik,"Similä, Sakari 'Sakke'",,,etunimi.sukunimi.872@example.com,Testiosoite 873,10872,Helsinki,13,Teologit,V,
875,Toivonen,Niilo Akseli Markunpoika,"Toivonen, Niilo",,,etunimi.sukunimi.873@example.com,Testiosoite 874,10873,Helsinki,13,Teologit,O,
876,Trogen,Tiia Johanna,"Trogen, Tiia",,,etunimi.sukunimi.874@example.com,Testiosoite 875,10874,Helsinki,13,Teologit,B,
877,Helminen,Tuomas Hermanni,"Helminen, Tuomas",,,etunimi.sukunimi.875@example.com,Testiosoite 876,10875,Helsinki,12,Valtiotieteilijät,T,
878,Hovi,Jaakko Matias,"Hovi, Jaakko",,,etunimi.sukunimi.876@example.com,Testiosoite 877,10876,Helsinki,12,Valtiotieteilijät,L,
879,Hämäläinen,Hanne Maaret Ilona,"Hämäläinen, Hanne",,,etunimi.sukunimi.877@example.com,Testiosoite 878,10877,Helsinki,12,Valtiotieteilijät,MM,
880,Jyllikoski,Daniel Alexandr,"Jyllikoski, Daniel",,,etunimi.sukunimi.878@example.com,Testiosoite 879,10878,Helsinki,12,Valtiotieteilijät,K,
881,Karjalainen,Joni Pekka Hemminki,"Karjalainen, Joni",,,etunimi.sukunimi.879@example.com,Testiosoite 880,10879,Helsinki,12,Valtiotieteilijät,E,
882,Koponen,Eija-Leena,"Koponen, Eija-Leena",,,etunimi.sukunimi.880@example.com,Testiosoite 881,10880,Helsinki,12,Valtiotieteilijät,H,
883,Koskela,Katri Marianna,"Koskela, Katri",,,etunimi.sukunimi.881@example.com,Testiosoite 882,10881,Helsinki,12,Valtiotieteilijät,ML,
884,Kostiainen,Aura Iiris Sofia,"Kostiainen, Aura",,,etunimi.sukunimi.882@example.com,Testiosoite 883,10882,Helsinki,12,Valtiotieteilijät,V,
885,Kulmala,Ifeoma Emmi Mirjami,"Kulmala, Ifeoma",,,etunimi.sukunimi.883@example.com,Testiosoite 884,10883,Helsinki,12,Valtiotieteilijät,O,
886,Miettinen,Elina Anniina,"Miettinen, Elina",,,etunimi.sukunimi.884@example.com,Testiosoite 885,10884,Helsinki,12,Valtiotieteilijät,B,
887,Sarhimaa,Jutta Marinella,"Sarhimaa, Jutta",,,etunimi.sukunimi.885@example.com,Testiosoite 886,10885,Helsinki,12,Valtiotieteilijät,T,
888,Stenbäck,Paul John Bernhard,"Stenbäck, Paul",,,etunimi.sukunimi.886@example.com,Testiosoite 887,10886,Helsinki,12,Valtiotieteilijät,L,
889,Suvitie,Aarni Lassi Valtteri,"Suvitie, Aarni",,,etunimi.sukunimi.887@example.com,Testiosoite 888,10887,Helsinki,12,Valtiotieteilijät,MM,
890,Syrman,Simo Valtteri,"Syrman, Simo",,,etunimi.sukunimi.888@example.com,Testiosoite 889,10888,Helsinki,12,Valtiotieteilijät,K,
891,Toroskainen,Kaisa Johanna,"Toroskainen, Kaisa",,,etunimi.sukunimi.889@example.com,Testiosoite 890,10889,Helsinki,12,Valtiotieteilijät,E,
892,Virta,Mikko Antero,"Virta, Mikko",,,etunimi.sukunimi.890@example.com,Testiosoite 891,10890,Helsinki,12,Valtiotieteilijät,H,
893,Aarnio,Jouni Pekka,"Aarnio, Jouni",,,etunimi.sukunimi.891@example.com,Testiosoite 892,10891,Helsinki,4,Viikki,ML,
894,Esteban Lasikari,Joel Alberti,"Esteban Lasikari, Joel",,,etunimi.sukunimi.892@example.com,Testiosoite 893,10892,Helsinki,4,Viikki,V,
895,Front,Eero Petteri,"Front, Petteri",,,etunimi.sukunimi.893@example.com,Testiosoite 894,10893,Helsinki,4,Viikki,O,
896,Hakala,Markku Kasperi,"Hakala, Markku",,,etunimi.sukunimi.894@example.com,Testiosoite 895,10894,Helsinki,4,Viikki,B,
897,Hyvärinen,Laura Kristiina,"Hyvärinen, Laura",,,etunimi.sukunimi.895@example.com,Testiosoite 896,10895,Helsinki,4,Viikki,T,
898,Hämäläinen,Iiro Mikael,"Hämäläinen, Iiro",,,etunimi.sukunimi.896@example.com,Testiosoite 897,10896,Helsinki,4,Viikki,L,
899,Kaloinen,Jaakko Johannes,"Kaloinen, Jaakko",,,etunimi.sukunimi.897@example.com,Testiosoite 898,10897,Helsinki,4,Viikki,MM,
900,Kauko,Hanna Maria,"Kauko, Hanna",,,etunimi.sukunimi.898@example.com,Testiosoite 899,10898,Helsinki,4,Viikki,K,
901,Kinnunen,Jyrki Pekko,"Kinnunen, Jyrki",,,etunimi.sukunimi.899@example.com,Testiosoite 900,10899,Helsinki,4,Viikki,E,
902,Korhonen,Anni Kristiina,"Korhonen, Anni",,,etunimi.sukunimi.900@example.com,Testiosoite 901,10900,Helsinki,4,Viikki,H,
903,Kyllönen,Anjuska Marianne,"Kyllönen, Anjuska",,,etunimi.sukunimi.901@example.com,Testiosoite 902,10901,Helsinki,4,Viikki,ML,
904,Malmberg,Markus Erik,"Malmberg, Markus",,,etunimi.sukunimi.902@example.com,Testiosoite 903,10902,Helsinki,4,Viikki,V,
905,Martikainen,Alpo Jalmari,"Martikainen, Alpo",,,etunimi.sukunimi.903@example.com,Testiosoite 904,10903,Helsinki,4,Viikki,O,
906,Peltoniemi,Pasi Matias,"Peltoniemi, Pasi",,,etunimi.sukunimi.904@example.com,Testiosoite 905,10904,Helsinki,4,Viikki,B,
907,Virkajärvi,Vertti Sakari,"Virkajärvi, Vertti",,,etunimi.sukunimi.905@example.com,Testiosoite 906,10905,Helsinki,4,Viikki,T,
908,Vähämaa,Ilkka Kristian,"Vähämaa, Ilkka",,,etunimi.sukunimi.906@example.com,Testiosoite 907,10906,Helsinki,4,Viikki,L,
909,Lohenoja,Jaakko Johannes,"Lohenoja, Jaakko",,,etunimi.sukunimi.907@example.com,Testiosoite 908,10907,Helsinki,33,Itsenäinen ehdokas 1,MM,
